nombre_oficial,aliases
IBC Entrada,"entrada;puerta principal;acceso;hall;ingreso;inicio;salida;afuera;exit"
1,"sala 1;aula 1;sala uno;número 1;room 1;uno;primer sala"
2,"sala 2;aula 2;sala dos;número 2;room 2;dos"
3,"sala 3;aula 3;sala tres;número 3;room 3;tres"
4,"sala 4;aula 4;sala cuatro;número 4;room 4;cuatro"
5,"sala 5;aula 5;sala cinco;número 5;room 5;cinco"
6,"sala 6;aula 6;sala seis;número 6;room 6;seis"
7,"sala 7;aula 7;sala siete;número 7;room 7;siete"
8,"sala 8;aula 8;sala ocho;número 8;room 8;ocho"
9,"sala 9;aula 9;sala nueve;número 9;room 9;nueve"
10,"sala 10;aula 10;sala diez;número 10;room 10;diez"
11,"sala 11;aula 11;sala once;número 11;room 11;once"
12,"sala 12;aula 12;sala doce;número 12;room 12;doce"
13,"sala 13;aula 13;sala trece;número 13;room 13;trece"
14,"sala 14;aula 14;sala catorce;número 14;room 14;catorce"
